"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 18 21:39:40 UTC 2025","Wed Jun 18 21:39:43 UTC 2025","2612","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOwnerByHyphenInStartName","shouldDeclinedPaymentByCardWithOwnerByHyphenInStartName()",""
"passed","Wed Jun 18 21:35:21 UTC 2025","Wed Jun 18 21:35:21 UTC 2025","317","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithThreeNumInMonth","shouldDeclinedPaymentByCardWithThreeNumInMonth()",""
"failed","Wed Jun 18 21:38:14 UTC 2025","Wed Jun 18 21:38:16 UTC 2025","2577","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOwnerUpperMax","shouldDeclinedPaymentByCardWithOwnerUpperMax()",""
"failed","Wed Jun 18 21:38:08 UTC 2025","Wed Jun 18 21:38:10 UTC 2025","2554","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithWordInNumber","shouldDeclinedPaymentByCardWithWordInNumber()",""
"passed","Wed Jun 18 21:39:17 UTC 2025","Wed Jun 18 21:39:17 UTC 2025","296","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOneNumInCVC","shouldDeclinedPaymentByCardWithOneNumInCVC()",""
"passed","Wed Jun 18 21:38:13 UTC 2025","Wed Jun 18 21:38:14 UTC 2025","298","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithSpacesInYear","shouldDeclinedPaymentByCardWithSpacesInYear()",""
"failed","Wed Jun 18 21:38:11 UTC 2025","Wed Jun 18 21:38:13 UTC 2025","2647","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOwnerBySpacesAfterText","shouldDeclinedPaymentByCardWithOwnerBySpacesAfterText()",""
"passed","Wed Jun 18 21:34:38 UTC 2025","Wed Jun 18 21:34:39 UTC 2025","365","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithSpecialCharacterInCVC","shouldDeclinedPaymentByCardWithSpecialCharacterInCVC()",""
"passed","Wed Jun 18 21:36:19 UTC 2025","Wed Jun 18 21:36:19 UTC 2025","307","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithEmptyOwner","shouldDeclinedPaymentByCardWithEmptyOwner()",""
"failed","Wed Jun 18 21:37:28 UTC 2025","Wed Jun 18 21:37:31 UTC 2025","2607","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithNumericOwner","shouldDeclinedPaymentByCardWithNumericOwner()",""
"passed","Wed Jun 18 21:39:20 UTC 2025","Wed Jun 18 21:39:20 UTC 2025","307","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithEmptyOwner","shouldDeclinedPaymentByCardWithEmptyOwner()",""
"failed","Wed Jun 18 21:35:33 UTC 2025","Wed Jun 18 21:35:49 UTC 2025","15624","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithExistIncorrectNumber","shouldDeclinedPaymentByCardWithExistIncorrectNumber()",""
"failed","Wed Jun 18 21:37:45 UTC 2025","Wed Jun 18 21:37:47 UTC 2025","2614","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOwnerByLowerCase","shouldDeclinedPaymentByCardWithOwnerByLowerCase()",""
"passed","Wed Jun 18 21:35:24 UTC 2025","Wed Jun 18 21:35:24 UTC 2025","318","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithSpacesInNumber","shouldDeclinedPaymentByCardWithSpacesInNumber()",""
"failed","Wed Jun 18 21:39:43 UTC 2025","Wed Jun 18 21:39:46 UTC 2025","2632","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOwnerByRusName","shouldDeclinedPaymentByCardWithOwnerByRusName()",""
"passed","Wed Jun 18 21:39:21 UTC 2025","Wed Jun 18 21:39:23 UTC 2025","2469","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithNotExistNumber","shouldDeclinedPaymentByCardWithNotExistNumber()",""
